ID;EigenaarBewoner;KenmerkenVanHuishoudens;Perioden;ParticuliereHuishoudens_1;GemiddeldeHypotheekschuldEigenWoning_2;GemiddeldeWaardeEigenWoning_3;GemiddeldBrutoInkomen_4;GemiddeldBesteedbaarInkomen_5;HypotheekschuldWoningwaarde_6;HypotheekschuldBrutoInkomen_7;HypotheekschuldBesteedbaarInkomen_8;GeenSchuld_9;k_0Tot07_10;k_07Tot08_11;k_08Tot09_12;k_09Tot10_13;k_1OfHoger_14;GeenSchuld_15;k_0Tot2_16;k_2Tot4_17;k_4OfHoger_18;GeenSchuld_19;k_0Tot35_20;k_35Tot7_21;k_7OfHoger_22
0;T001628;1050010;2006JJ00;3764;128;274.1;;;0.45;;;529.3;2019.8;222.5;219.5;246.5;526.3;;;;;;;;
1;T001628;1050010;2007JJ00;3841.5;136.4;291.5;;;0.46;;;533.2;2041;239.8;256.1;293;478.5;;;;;;;;
2;T001628;1050010;2008JJ00;3932.9;144.5;303.8;;;0.48;;;546.5;2044.3;256.4;279.5;319.9;486.3;;;;;;;;
3;T001628;1050010;2009JJ00;4084.4;147.6;301.5;;;0.49;;;665.9;1943.1;256.3;272.1;306.1;640.8;;;;;;;;
4;T001628;1050010;2010JJ00;4134.1;151;282.3;;;0.55;;;678.7;1781.4;246;251.4;271.3;905.2;;;;;;;;
5;T001628;1050010;2011JJ00;4160.8;154.4;283.8;79.6;47;0.56;1.86;3.11;656.4;1791.6;255.5;264.8;285.6;906.9;656.4;1560.8;1438.3;505.4;656.4;1633.8;1446.2;424.4
6;T001628;1050010;2012JJ00;4195.2;158.5;270.7;80.7;47.3;0.61;1.9;3.22;629.8;1685;250.2;256.1;275;1099.2;629.8;1567.9;1478.8;518.8;629.8;1620.1;1506.9;438.5
7;T001628;1050010;2013JJ00;4226.7;159;243.3;81.7;47.7;0.69;1.9;3.23;628.7;1499.5;229.8;231.2;240.8;1396.6;628.7;1586.9;1501.3;509.7;628.7;1642;1540.1;415.8
8;T001628;1050010;2014JJ00;4254.4;156.5;242.2;85.4;50.6;0.69;1.84;3.09;667.5;1480.1;233.2;236.9;251;1385.8;667.5;1634;1491.8;461.2;667.5;1711.8;1523.2;351.9
9;T001628;1050010;2015JJ00;4287;153.5;247.8;83.2;49.8;0.66;1.82;3;724.9;1505.2;244.5;253.8;275.3;1283.3;724.9;1617.6;1497.7;446.8;724.9;1735.8;1499.4;326.8
10;T001628;1050010;2016JJ00;4327.4;153.8;257.5;85.8;52;0.64;1.78;2.91;719.5;1587.3;265.4;284.5;338.7;1132;719.5;1697.5;1499.9;410.5;719.5;1854.6;1469;284.4
11;T001628;1050010;2017JJ00;4369.3;154.5;274.9;90.1;54;0.61;1.73;2.85;731.3;1707.8;305.5;345.1;428.3;851.3;731.3;1779.5;1489.2;369.3;731.3;1927.6;1453.6;256.8
12;T001628;1050010;2018JJ00;4415.7;156.4;297.3;92;55.2;0.57;1.7;2.8;746.7;1876.3;366.7;430.3;410.5;585.3;746.7;1845.4;1474.5;349.2;746.7;1994.7;1431.7;242.7
13;T001628;1050010;2019JJ00;4456.2;158.8;323.6;98.5;59.8;0.53;1.64;2.69;751.2;2124;440.1;440.5;322.6;377.8;751.2;1964.2;1416.2;324.7;751.2;2129.5;1354.1;221.4
14;T001628;1050010;2020JJ00;4476.3;159.8;346;100.2;61.1;0.49;1.6;2.6;760.2;2346.6;458.8;389.7;252.6;268.4;760.2;2022.4;1368.4;325.3;760.2;2216.2;1281.9;217.9
15;T001628;1050015;2006JJ00;724.4;91.1;232.3;;;0.37;;;179.8;313.5;36.8;39.9;49.1;105.4;;;;;;;;
16;T001628;1050015;2007JJ00;754.7;97.3;247.6;;;0.39;;;181.3;326.1;41.1;49.3;61.4;95.7;;;;;;;;
17;T001628;1050015;2008JJ00;788.8;103.2;256.8;;;0.41;;;186.4;335;45.1;54.8;68.5;99.1;;;;;;;;
18;T001628;1050015;2009JJ00;846.9;103.1;254;;;0.4;;;226.6;326.5;44.6;52.2;63.8;133.2;;;;;;;;
19;T001628;1050015;2010JJ00;863.5;103.6;239;;;0.43;;;232.9;307.8;41.2;45.3;52.4;184;;;;;;;;
20;T001628;1050015;2011JJ00;877.3;105.9;242;47.8;29.2;0.44;2.05;3.36;224.3;327.5;43.7;48.5;55.1;178.3;224.3;207;287.4;158.7;224.3;224.7;281.7;146.6
21;T001628;1050015;2012JJ00;895.6;108.8;231.1;48.7;29.6;0.49;2.11;3.51;218.4;320.1;43.4;47.4;52.9;213.5;218.4;212.6;302.7;162;218.4;228.4;299.1;149.7
22;T001628;1050015;2013JJ00;911;108.7;208;49.2;30;0.55;2.1;3.49;219.8;296.2;40.8;41.7;45.3;267.1;219.8;218.7;312.8;159.6;219.8;236.3;316.6;138.3
23;T001628;1050015;2014JJ00;925.8;106.1;207.6;51;31.5;0.54;2.01;3.3;231.3;300.7;42.8;43.9;47.9;259.2;231.3;229.5;316.7;148.4;231.3;249.8;325;119.7
24;T001628;1050015;2015JJ00;942.5;102.6;212.3;50.1;31.3;0.5;1.95;3.13;253.1;308;46.2;48.4;53.1;233.7;253.1;226.4;318.8;144.2;253.1;253.1;327.3;109.1
25;T001628;1050015;2016JJ00;961.9;102.8;221.1;51.2;32.2;0.49;1.92;3.07;252.5;333.6;51.6;55.3;66.6;202.2;252.5;243;328.9;137.5;252.5;273.6;337.7;98.1
26;T001628;1050015;2017JJ00;979.4;102.4;236.3;53.2;33.1;0.46;1.87;3.01;257.2;367.2;60.1;66.8;83.9;144.2;257.2;258.5;335.5;128.2;257.2;288.7;343.5;90
