,Perioden,Indexcijfers,Aantal_Verkochte_Woningen,Gemiddelde_Verkoopprijs,Totale_Waarde_Verkoopprijzen,Jaartallen,Maand
17,1996 januari,15.9,10193,96767,986,1996,januari
18,1996 februari,19.4,12061,96539,1164,1996,februari
19,1996 maart,13.3,13415,98188,1317,1996,maart
21,1996 april,37.5,14610,99609,1455,1996,april
22,1996 mei,22.0,15548,101317,1575,1996,mei
23,1996 juni,-0.2,13652,99819,1363,1996,juni
25,1996 juli,24.1,17802,104167,1854,1996,juli
26,1996 augustus,9.9,14922,105608,1576,1996,augustus
27,1996 september,10.2,13858,104589,1449,1996,september
29,1996 oktober,8.5,14781,104819,1549,1996,oktober
30,1996 november,10.0,14700,106055,1559,1996,november
31,1996 december,4.8,20209,108073,2184,1996,december
34,1997 januari,4.6,10660,105876,1129,1997,januari
35,1997 februari,-1.9,11837,107567,1273,1997,februari
36,1997 maart,-1.1,13266,107769,1430,1997,maart
38,1997 april,4.9,15328,109670,1681,1997,april
39,1997 mei,0.9,15688,110859,1739,1997,mei
40,1997 juni,18.3,16144,112207,1811,1997,juni
42,1997 juli,3.8,18483,114344,2113,1997,juli
43,1997 augustus,3.9,15506,116161,1801,1997,augustus
44,1997 september,12.8,15630,116411,1820,1997,september
46,1997 oktober,12.6,16640,116785,1943,1997,oktober
47,1997 november,-1.9,14415,115768,1669,1997,november
48,1997 december,9.0,22037,117870,2598,1997,december
51,1998 januari,-5.4,10084,118196,1192,1998,januari
52,1998 februari,6.8,12637,118483,1497,1998,februari
53,1998 maart,16.1,15407,119635,1843,1998,maart
55,1998 april,-1.2,15145,120019,1818,1998,april
56,1998 mei,3.9,16299,122503,1997,1998,mei
57,1998 juni,-1.1,15966,121460,1939,1998,juni
59,1998 juli,6.5,19679,126636,2492,1998,juli
60,1998 augustus,6.0,16435,127865,2101,1998,augustus
61,1998 september,-3.8,15039,127758,1921,1998,september
63,1998 oktober,-1.3,16428,128238,2107,1998,oktober
64,1998 november,12.3,16189,127574,2065,1998,november
65,1998 december,5.8,23314,129378,3016,1998,december
68,1999 januari,6.7,10756,130266,1401,1999,januari
69,1999 februari,10.1,13909,130784,1819,1999,februari
70,1999 maart,14.0,17558,133544,2345,1999,maart
72,1999 april,13.6,17210,138285,2380,1999,april
73,1999 mei,-2.6,15879,138572,2200,1999,mei
74,1999 juni,7.2,17122,141717,2426,1999,juni
76,1999 juli,3.9,20455,146087,2988,1999,juli
77,1999 augustus,14.1,18760,148966,2795,1999,augustus
78,1999 september,8.8,16360,151863,2484,1999,september
80,1999 oktober,1.6,16691,154989,2587,1999,oktober
81,1999 november,8.0,17482,155171,2713,1999,november
82,1999 december,-4.1,22356,155389,3474,1999,december
85,2000 januari,0.4,10794,157270,1698,2000,januari
86,2000 februari,-2.5,13563,158416,2149,2000,februari
87,2000 maart,-12.9,15286,161686,2472,2000,maart
89,2000 april,-19.4,13875,164483,2282,2000,april
90,2000 mei,17.1,18593,168035,3124,2000,mei
91,2000 juni,-14.6,14630,169998,2487,2000,juni
93,2000 juli,-15.9,17197,174945,3009,2000,juli
94,2000 augustus,-13.3,16264,177859,2893,2000,augustus
95,2000 september,-6.3,15333,179940,2759,2000,september
97,2000 oktober,-5.4,15792,180317,2848,2000,oktober
98,2000 november,-13.5,15121,176972,2676,2000,november
99,2000 december,2.5,22910,182625,4184,2000,december
102,2001 januari,-4.2,10341,177558,1836,2001,januari
103,2001 februari,-8.4,12427,182471,2268,2001,februari
104,2001 maart,-2.1,14961,180494,2700,2001,maart
106,2001 april,5.5,14634,185999,2722,2001,april
107,2001 mei,-8.3,17049,186441,3179,2001,mei
108,2001 juni,12.8,16508,187336,3093,2001,juni
110,2001 juli,10.5,18997,190801,3625,2001,juli
111,2001 augustus,11.6,18158,192139,3489,2001,augustus
112,2001 september,0.1,15343,191693,2941,2001,september
114,2001 oktober,12.9,17835,191792,3421,2001,oktober
115,2001 november,14.5,17309,193508,3349,2001,november
116,2001 december,-3.2,22175,191854,4254,2001,december
119,2002 januari,15.0,11891,193092,2296,2002,januari
120,2002 februari,14.0,14165,193162,2736,2002,februari
121,2002 maart,22.5,18321,197257,3614,2002,maart
123,2002 april,-0.6,14544,197440,2872,2002,april
124,2002 mei,3.1,17569,199157,3499,2002,mei
125,2002 juni,-3.3,15968,199384,3184,2002,juni
127,2002 juli,4.3,19813,201666,3996,2002,juli
128,2002 augustus,-5.6,17150,204573,3508,2002,augustus
129,2002 september,1.9,15634,204417,3196,2002,september
131,2002 oktober,-9.2,16200,201799,3269,2002,oktober
132,2002 november,-8.6,15815,200491,3171,2002,november
133,2002 december,-3.9,21316,201155,4288,2002,december
136,2003 januari,-0.5,11832,201802,2388,2003,januari
137,2003 februari,-5.4,13396,200118,2681,2003,februari
138,2003 maart,-21.6,14359,199880,2870,2003,maart
140,2003 april,4.3,15163,202536,3071,2003,april
141,2003 mei,-5.1,16675,202497,3377,2003,mei
142,2003 juni,-9.6,14440,204760,2957,2003,juni
144,2003 juli,-11.6,17510,204826,3587,2003,juli
145,2003 augustus,-6.4,16045,204982,3289,2003,augustus
146,2003 september,7.5,16810,205430,3453,2003,september
148,2003 oktober,7.1,17357,208042,3611,2003,oktober
149,2003 november,-4.1,15168,205756,3121,2003,november
150,2003 december,15.6,24651,211410,5211,2003,december
153,2004 januari,-12.7,10329,204756,2115,2004,januari
154,2004 februari,-0.7,13298,209830,2790,2004,februari
155,2004 maart,8.8,15624,210156,3283,2004,maart
157,2004 april,8.8,16496,212873,3512,2004,april
158,2004 mei,-13.0,14507,212210,3079,2004,mei
159,2004 juni,17.3,16943,211950,3591,2004,juni
161,2004 juli,5.0,18386,215940,3970,2004,juli
162,2004 augustus,5.4,16909,217834,3683,2004,augustus
163,2004 september,-10.0,15132,218350,3304,2004,september
165,2004 oktober,-11.0,15450,214677,3317,2004,oktober
166,2004 november,8.9,16519,211246,3490,2004,november
167,2004 december,-9.3,22348,210150,4696,2004,december
