,Onderwerp,Perioden,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020*
0,Particuliere huishoudens,x 1 000,3764,"3841,5","3932,9","4084,4","4134,1","4160,8","4195,2","4226,7","4254,4",4287,"4327,4","4369,3","4415,7","4456,2","4476,3"
1,Gemiddelde hypotheekschuld eigen woning,1 000 euro,128,"136,4","144,5","147,6",151,"154,4","158,5",159,"156,5","153,5","153,8","154,5","156,4","158,8","159,8"
2,Gemiddelde waarde eigen woning,1 000 euro,"274,1","291,5","303,8","301,5","282,3","283,8","270,7","243,3","242,2","247,8","257,5","274,9","297,3","323,6",346
3,Gemiddeld bruto-inkomen,1 000 euro,.,.,.,.,.,"79,6","80,7","81,7","85,4","83,2","85,8","90,1",92,"98,5","100,2"
4,Gemiddeld besteedbaar inkomen,1 000 euro,.,.,.,.,.,47,"47,3","47,7","50,6","49,8",52,54,"55,2","59,8","61,1"
5,Schuldrisico kengetallen| Hypotheekschuld / woningwaarde,waarde,"0,45","0,46","0,48","0,49","0,55","0,56","0,61","0,69","0,69","0,66","0,64","0,61","0,57","0,53","0,49"
6,Schuldrisico kengetallen|Hypotheekschuld / bruto-inkomen,waarde,.,.,.,.,.,"1,9","1,9","1,9","1,8","1,8","1,8","1,7","1,7","1,6","1,6"
7,Schuldrisico kengetallen|Hypotheekschuld / besteedbaar inkomen,waarde,.,.,.,.,.,"3,1","3,2","3,2","3,1",3,"2,9","2,9","2,8","2,7","2,6"
8,Schuldrisico klassen| Hypotheekschuld / woningwaarde|Geen schuld,x 1 000,"529,3","533,2","546,5","665,9","678,7","656,4","629,8","628,7","667,5","724,9","719,5","731,3","746,7","751,2","760,2"
9,"Schuldrisico klassen| Hypotheekschuld / woningwaarde|0 tot 0,7",x 1 000,"2019,8",2041,"2044,3","1943,1","1781,4","1791,6",1685,"1499,5","1480,1","1505,2","1587,3","1707,8","1876,3",2124,"2346,6"
10,"Schuldrisico klassen| Hypotheekschuld / woningwaarde|0,7 tot 0,8",x 1 000,"222,5","239,8","256,4","256,3",246,"255,5","250,2","229,8","233,2","244,5","265,4","305,5","366,7","440,1","458,8"
11,"Schuldrisico klassen| Hypotheekschuld / woningwaarde|0,8 tot 0,9",x 1 000,"219,5","256,1","279,5","272,1","251,4","264,8","256,1","231,2","236,9","253,8","284,5","345,1","430,3","440,5","389,7"
12,"Schuldrisico klassen| Hypotheekschuld / woningwaarde|0,9 tot 1,0",x 1 000,"246,5",293,"319,9","306,1","271,3","285,6",275,"240,8",251,"275,3","338,7","428,3","410,5","322,6","252,6"
13,Schuldrisico klassen| Hypotheekschuld / woningwaarde|1 of hoger,x 1 000,"526,3","478,5","486,3","640,8","905,2","906,9","1099,2","1396,6","1385,8","1283,3",1132,"851,3","585,3","377,8","268,4"
14,Schuldrisico klassen|Hypotheekschuld / bruto-inkomen|Geen schuld,x 1 000,.,.,.,.,.,"656,4","629,8","628,7","667,5","724,9","719,5","731,3","746,7","751,2","760,2"
15,Schuldrisico klassen|Hypotheekschuld / bruto-inkomen|0 tot 2,x 1 000,.,.,.,.,.,"1560,8","1567,9","1586,9",1634,"1617,6","1697,5","1779,5","1845,4","1964,2","2022,4"
16,Schuldrisico klassen|Hypotheekschuld / bruto-inkomen|2 tot 4,x 1 000,.,.,.,.,.,"1438,3","1478,8","1501,3","1491,8","1497,7","1499,9","1489,2","1474,5","1416,2","1368,4"
17,Schuldrisico klassen|Hypotheekschuld / bruto-inkomen|4 of hoger,x 1 000,.,.,.,.,.,"505,4","518,8","509,7","461,2","446,8","410,5","369,3","349,2","324,7","325,3"
18,Schuldrisico klassen|Hypotheekschuld / besteedbaar inkomen|Geen schuld,x 1 000,.,.,.,.,.,"656,4","629,8","628,7","667,5","724,9","719,5","731,3","746,7","751,2","760,2"
19,"Schuldrisico klassen|Hypotheekschuld / besteedbaar inkomen|0 tot 3,5",x 1 000,.,.,.,.,.,"1633,8","1620,1",1642,"1711,8","1735,8","1854,6","1927,6","1994,7","2129,5","2216,2"
20,"Schuldrisico klassen|Hypotheekschuld / besteedbaar inkomen|3,5 tot 7",x 1 000,.,.,.,.,.,"1446,2","1506,9","1540,1","1523,2","1499,4",1469,"1453,6","1431,7","1354,1","1281,9"
21,Schuldrisico klassen|Hypotheekschuld / besteedbaar inkomen|7 of hoger,x 1 000,.,.,.,.,.,"424,4","438,5","415,8","351,9","326,8","284,4","256,8","242,7","221,4","217,9"
22,Bron: CBS,,,,,,,,,,,,,,,,
